"키워드(2026.06.01.~2026.06.30.),2439317",,,,,,,,,
일별,시간대별,캠페인,키워드,PC/모바일 매체,노출수,클릭수,클릭률(%),평균 CPC,총비용
2026.06.17.,00시~01시,개인회생_에이스,개인회생기각,PC,1,0,0,0,0
2026.06.01.,00시~01시,개인회생_에이스,개인회생기간,PC,1,0,0,0,0
2026.06.17.,00시~01시,개인회생_에이스,개인회생기간,PC,5,1,20,4314,4314
2026.06.24.,00시~01시,개인회생_에이스,개인회생기간,PC,1,0,0,0,0
2026.06.17.,00시~01시,개인회생_에이스,개인회생미납,PC,1,0,0,0,0
2026.06.30.,00시~01시,개인회생_에이스,개인회생미납,PC,1,0,0,0,0
2026.06.03.,00시~01시,개인회생_에이스,개인회생법률사무소,모바일,1,0,0,0,0
2026.06.05.,00시~01시,개인회생_에이스,개인회생법률사무소,모바일,1,0,0,0,0
2026.06.30.,00시~01시,개인회생_에이스,개인회생법률사무소,모바일,2,0,0,0,0
2026.06.01.,00시~01시,개인회생_에이스,개인회생법무법인,모바일,1,0,0,0,0
2026.06.02.,00시~01시,개인회생_에이스,개인회생법무법인,모바일,2,0,0,0,0
2026.06.29.,00시~01시,개인회생_에이스,개인회생법무법인,모바일,1,0,0,0,0
2026.06.16.,00시~01시,개인회생_에이스,개인회생변제금미납,PC,1,0,0,0,0
2026.06.23.,00시~01시,개인회생_에이스,개인회생변제금미납,PC,1,0,0,0,0
2026.06.26.,00시~01시,개인회생_에이스,개인회생변제금미납,PC,1,0,0,0,0
2026.06.29.,00시~01시,개인회생_에이스,개인회생변제금미납,PC,1,0,0,0,0
2026.06.30.,00시~01시,개인회생_에이스,개인회생변제금미납,PC,1,0,0,0,0
2026.06.01.,00시~01시,개인회생_에이스,개인회생변제금미납,모바일,1,0,0,0,0
2026.06.01.,00시~01시,개인회생_에이스,개인회생변호사,PC,6,0,0,0,0
2026.06.02.,00시~01시,개인회생_에이스,개인회생변호사,PC,7,0,0,0,0
2026.06.03.,00시~01시,개인회생_에이스,개인회생변호사,PC,12,0,0,0,0
2026.06.04.,00시~01시,개인회생_에이스,개인회생변호사,PC,9,0,0,0,0
